"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B21K21/00","Making hollow articles not covered by a single preceding sub-group  (essentially from sheet-metal or uniform thin-walled tubes B21D, e.g. B21D41/00, B21D51/00)","B21D|B21D41/00|B21D51/00","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of hollow articles."
"B21K21/02","Producing blanks in the shape of discs or cups as semifinished articles for making hollow articles, e.g. to be deep-drawn or extruded","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of discs or cups as semi-finished articles. Illustrative examples of subject matter classified in this group:"
"B21K21/04","Shaping thin-walled hollow articles, e.g. cartridges","","Cartridge ammunition","F42B5/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cartridges. Illustrative examples of subject matter classified in this group:"
"B21K21/06","Shaping thick-walled hollow articles, e.g. projectiles","","Projectiles, missiles","F42B12/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of thick-walled hollow articles, e.g. projectiles. Illustrative examples of subject matter classified in this group:"
"B21K21/08","Shaping hollow articles with different cross-section in longitudinal direction, e.g. nozzles, spark-plugs","","Spark plugs","H01T21/02","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of hollow articles with different cross-section, e.g. nozzles, spark-plugs. Illustrative examples of subject matter classified in this group:"
"B21K21/10","cone-shaped or bell-shaped articles, e.g. insulator caps","","Electric terminals","H01M50/543","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cone-shaped or bell-shaped articles, e.g. insulator caps. Illustrative examples of subject matter classified in this group:"
"B21K21/12","Shaping end portions of hollow articles","","Shaping end portions of hollow articles without substantially modifying the workpiece thickness","B21D41/04","","","","This place covers: Metal forging or pressing methods dedicated to the shaping of end-portions of hollow articles. Illustrative examples of subject matter classified in this group:"
"B21K21/14","closed or substantially-closed ends, e.g. cartridge bottoms","","Closing end portions of hollow articles without substantially modifying the workpiece thickness","B21D41/045","","","","This place covers: Metal forging or pressing methods dedicated to the shaping of closed or substantially closed end-portions of hollow articles, e.g. cartridge bottoms. Illustrative examples of subject matter classified in this group:"
"B21K21/16","Remodelling hollow bodies with respect to the shape of the cross-section  (remodelling end portions only B21K21/12)","B21K21/12","","","","","","This place covers: Metal forging or pressing methods dedicated to the remodelling of hollow bodies with respect to the shape of their cross-section. Illustrative examples of subject matter classified in this group:"
"B21K23/00","Making other articles","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of articles not provided for in the groups   -  , especially thin articles worked in their thickness. Illustrative examples of subject matter classified in this group: Source: EP0945199, WO2006008861."
"B21K23/02","members of endless tracks, e.g. track guides, shoes  (making from sheet-metal B21D)","B21D","Making roller chainsEndless track vehicles","B21L9/02|B62D55/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of members of endless tracks, e.g. track guides, shoes. Illustrative examples of subject matter classified in this group:"
"B21K23/04","flanged articles  (B21K1/28 takes precedence; flanging tubes B21D)","B21K1/28|B21D","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of flanged articles. Illustrative examples of subject matter classified in this group:"
"B21K25/00","Uniting components to form integral members, e.g. turbine wheels and shafts, caulks with inserts, with or without shaping of the components  (uniting by interference- or press-fitting B23P11/02, B21K19/02)","B23P11/02|B21K19/02","","","","","","This place covers: Metal forging or pressing methods for uniting components in order to form integral members, with or without shaping the components. Illustrative examples of subject matter classified in this group:"
"B21K25/005","{by friction heat forging  (B21J15/027 takes precedence; friction heat forging per se B21J5/063)}","B21J15/027|B21J5/063","Friction heat forging per se","B21J5/063","","","","This place covers: Metal forging or pressing methods dedicated to uniting components by friction heat forging. Illustrative examples of subject matter classified in this group:"
"B21K27/00","Handling devices, e.g. for feeding, aligning, discharging, Cutting-off means; Arrangement thereof","","","","","","","This place covers: Handling devices in relation to metal forging or pressing, for e.g. feeding, aligning, discharging, cutting off."
"B21K27/02","Feeding devices for rods, wire, or strips","","","","","","","This place covers: Devices for feeding rods, wires or strips into a forging machine. Illustrative examples of subject matter classified in this group:"
"B21K27/04","allowing successive working steps","","Multiple die presses","B21J9/022","","","","This place covers: Devices for feeding and allowing successive working steps. Illustrative examples of subject matter classified in this group:"
"B21K27/06","Cutting-off means; Arrangements thereof","","Cutting metal in general","B23D","","","","This place covers: Means for cutting-off forging material. Illustrative examples of subject matter classified in this group:"
"B21K29/00","Arrangements for heating or cooling during processing  (for preparing metal stock to be forged or pressed B21J1/06; heating equipment per se, see the appropriate classes, e.g. H05B)","B21J1/06|H05B","Heating processes before forgingHeating equipment per se","B21J1/06|H05B","","","","This place covers: Arrangements for heating or cooling during forging. Illustrative examples of subject matter classified in this group:"
"B21K31/00","Control devices specially adapted for positioning tool carriers","","Die mountings","B21J13/03","","","","This place covers: Control devices specially adapted for positioning tool carriers. Illustrative examples of subject matter classified in this group:"
