"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D04H1/4374","using different kinds of webs, e.g. by layering webs","","","","","","","This place covers: Non-woven fabrics which are composed of mixture of different kind of webs, including multi-layered non-woven fabrics in which layers are made continuously and each layer is composed of different kind of fibres, and which are also included in the scope of the upper group, namely, formed wholly or mainly of staple fibres or like relatively short fibres and formed from fleeces or layers composed of fibres without existing or potential cohesive properties insofar as this use has no preponderant influence on the consolidation of the fleece. Fleeces and webs, or layers of these, made using different kinds of webs, e.g. by layering webs."
"D04H1/4382","Stretched reticular film fibres; Composite fibres; Mixed fibres; Ultrafine fibres; Fibres for artificial leather","","","","","","","This place covers: Fleeces and webs, or layers of these, made from stretched reticular film fibres, composite fibres, mixed fibres, or ultrafine fibres (including splittable fibres). Fleeces and webs or layers of these made from fibres for artificial leather regardless of the fibre length. The fibres for artificial leather can be short fibres or long fibres."
"D04H1/4391","characterised by the shape of the fibres","","Characterised by the shape of yarns or filaments","D04H3/018","","","","This place covers: Non-woven fabrics characterised by the shape of the fibres used to form the non-woven fabric. These fibres generally have configurations that deviate from a smooth round fibre shape. For example, the fibres can have modified external cross-sections, e.g. noncircular cross-sections, modified internal cross-sections, e.g. circular or noncircular hollow fibre cores and noncircular internal fibre cores, or the fibres can have nonlinear configurations such as crimped fibres on which specific crimps are given. Examples of fibres having modified external cross-sections: Examples of fibres having modified internal cross-sections: Examples of fibres having hollow internal cross-sections: The non-woven fabrics are formed wholly or mainly of staple fibres or the like or relatively short fibres and formed from fleeces or layers composed of fibres without existing or potential cohesive properties insofar as this use has no preponderant influence on the consolidation of the fleece. Fleeces and webs, or layers of these, are made from fibres which are characterized by their shape."
"D04H1/44","the fleeces or layers being consolidated by mechanical means, e.g. by rolling","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties and are consolidated by mechanical means, e.g. by rolling."
"D04H1/45","by forming intermeshing loops or stitches from some of the fibres","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by forming intermeshing loops or stitches from some of the fibers. Fibers are pulled out from the structure of the web and then pushed back into it to bind the web. No additional yarn material is added to the web. (Is not related to knitting  ; or sewing  )"
"D04H1/46","by needling or like operations to cause entanglement of fibres  (D04H1/45 takes precedence; needling machines D04H18/00)","D04H1/45|D04H18/00","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers. The needling is done by stabbing or punching with barbed needles which pull out and push in the fibers of the web many consecutive times. (Needling machines  )"
"D04H1/48","in combination with at least one other method of consolidation","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers in combination with at least one other preceding or subsequent method of consolidation."
"D04H1/482","in combination with shrinkage","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers in combination with shrinkage."
"D04H1/485","in combination with weld-bonding","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers in combination with weld-bonding."
"D04H1/488","in combination with bonding agents","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers in combination with bonding agents."
"D04H1/49","entanglement by fluid jet in combination with another consolidation means","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers in combination with entanglement by fluid jet, e.g. by hydro entangling/ hydro needling/ spun lace methods with water jets)."
"D04H1/492","by fluid jet  (D04H1/49 takes precedence)","D04H1/49","","","","","","This place covers: Fleeces and webs, or layers of these, are mechanically consolidated only by fluid jet (usually this is with water e.g. by hydro entangling/ hydro needling/ spun lace methods or can be gas/air)."
"D04H1/495","for formation of patterns, e.g. drilling or rearrangement","","","","","","","This place covers: Fleeces and webs, or layers of these, mechanically consolidated only by fluid jet for the formation of patterns, e.g. drilling or rearrangement of the fibers."
"D04H1/498","entanglement of layered webs","","","","","","","This place covers: Multi-layered non-woven fabrics which are entangled by needling or like operations, and which are also included in the scope of the upper group, namely, formed wholly or mainly of staple fibres or like relatively short fibres and formed from fleeces or layers composed of fibres without existing or potential cohesive properties. Fleeces and webs, or layers of these, mechanically consolidated by needling or like operations to cause entanglement of fibers. Specifically for the entanglement of layered webs."
"D04H1/50","by treatment to produce shrinking, swelling, crimping or curling of fibres  (in combination with needling D04H1/482)","D04H1/482","curling or crimping of fibres, filaments, or yarns","D02G1/00","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties and are consolidated by mechanical means by using a treatment to produce shrinking, swelling, crimping, or curling of fibers."
"D04H1/52","by applying or inserting filamentary binding elements","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties and are consolidated by mechanical means by applying or inserting filamentary binding elements, e.g. threads or yarns are used as an extra stitching element. (Knitting  ; Sewing  )"
"D04H1/54","by welding together the fibres, e.g. by partially melting or dissolving  (in combination with needling D04H1/485)","D04H1/485","","","","","","This place covers: Fleeces and webs, or layers of these, are composed of fibers having existing or potential cohesive properties and are consolidated by welding together the fibers, e.g. by partially melting or dissolving (if in combination with needling then  )."
"D04H1/541","Composite fibres, e.g. sheath-core, sea-island or side-by-side; Mixed fibres","","","","","","Mixed fibresMixed fibres refers to the case when different kinds of fibres exist and one of them melts or softens first","This place covers: Fleeces and webs, or layers of these are welded together and are composite fibers e.g. sheath-core, sea-island or side-by-side; Mixed fibers."
"D04H1/542","Adhesive fibres","","","","","","","This place covers: Fleeces and webs, or layers of these welded together and are adhesive fibers i.e thermoplastic."
"D04H1/544","Olefin series","","","","","","","This place covers: Where the adhesive fibers belong to the olefin series."
"D04H1/545","Polyvinyl alcohol","","","","","","","This place covers: Where the adhesive fibers are polyvinyl alcohol."
"D04H1/546","Polyvinyl acetate","","","","","","","This place covers: Where the adhesive fibers are polyvinyl acetate."
"D04H1/548","Acrylonitrile series","","","","","","","This place covers: Where the adhesive fibers belong to the acrylonitrile series."
"D04H1/549","Polyamides","","","","","","","This place covers: Where the adhesive fibers are polyamides."
"D04H1/55","Polyesters","","","","","","","This place covers: Where the adhesive fibers are polyesters."
"D04H1/551","Resins thereof not provided for in groups D04H1/544 - D04H1/55","D04H1/544|D04H1/55","","","","","","This place covers: Where the adhesive fibers are resins not provided for in groups  - ."
"D04H1/552","by applying solvents or auxiliary agents","","","","","","","This place covers: Fleeces and webs, or layers of these, welded together by applying solvents or auxiliary agents which promote welding by dissolving the fibers."
"D04H1/554","by radio-frequency heating","","","","","","","This place covers: Fleeces and webs, or layers of these, welded together by radio-frequency heating."
"D04H1/555","by ultrasonic heating","","","","","","","This place covers: Fleeces and webs, or layers of these, welded together by ultrasonic heating."
"D04H1/556","by infrared heating","","","","","","","This place covers: Fleeces and webs, or layers of these, welded together by infrared heating."
"D04H1/558","in combination with mechanical or physical treatments other than embossing","","","","","","","This place covers: Fleeces and webs, or layers of these, welded together in combination with mechanical or physical treatments other than embossing."
